,z
1343,10.295679
1344,-3.8624275
1345,0.19901101
1346,-1.1289618
1347,-7.495505
1348,-0.9974855
1349,-5.411495
1350,-4.961608
1351,-6.944958
1352,-6.552897
1353,14.052537
1354,3.9365833
1355,-4.438679
1356,-3.9937956
1357,-6.0134254
1358,11.081793
1359,-2.534348
1360,-2.398069
1361,-6.915519
1362,-5.3160386
1363,-9.225438
1364,-3.2191677
1365,0.8027579
1366,10.259354
1367,-9.208414
1368,-6.2798505
1369,-0.20177826
1370,-2.8937066
1371,4.2298527
1372,4.946728
1373,17.145058
1374,-1.7513487
1375,16.074877
1376,16.011036
1377,14.287343
1378,12.940831
1379,16.918102
1380,16.043
1381,-1.6623738
1382,17.922514
1383,17.173788
1384,-3.3341186
1385,5.0205503
1386,11.652558
1387,18.344261
1388,12.332161
1389,2.672547
1390,0.9947272
1391,-5.314783
1392,13.500841
1393,16.573793
1394,13.372012
1395,12.457203
1396,13.384073
1397,15.975531
1398,16.904064
1399,14.139263
1400,18.565523
1401,13.2877
1402,15.406165
1403,15.855139
1404,9.352897
1405,12.5659895
1406,12.743659
1407,17.489073
1408,11.01986
1409,17.101099
1410,14.972474
1411,11.42468
1412,5.7278748
1413,13.229663
1414,14.054406
1415,9.849934
1416,15.484073
1417,6.8024554
1418,19.207167
1419,-0.9670143
1420,12.9575
1421,5.752819
1422,10.300961
1423,9.822454
1424,9.326382
1425,16.616755
1426,6.6748223
1427,16.925047
1428,15.036418
1429,16.826345
1430,17.902016
1431,11.18034
1432,16.70864
1433,9.013886
1434,15.033123
1435,16.212357
1436,8.129051
1437,17.41226
1438,13.815632
1439,16.648544
1440,8.974179
1441,16.154503
1442,16.624897
1443,1.7130347
1444,19.245949
1445,3.4388282
1446,16.714588
1447,-3.763063
1448,10.869672
1449,13.0261965
1450,7.6283154
1451,10.937555
1452,14.84518
1453,14.192089
1454,7.2193856
1455,10.156023
1456,4.1130776
1457,2.8324974
1458,15.997327
1459,17.451298
1460,16.001741
1461,13.620435
1462,10.282191
1463,15.596277
1464,2.5266445
1465,2.0607893
1466,2.2046793
1467,17.163277
1468,1.3424288
1469,5.7830544
1470,0.51034325
1471,0.06464875
1472,3.9753835
1473,3.5442123
1474,5.469192
1475,1.4905839
1476,4.6722865
1477,5.2235913
1478,5.59697
1479,5.54799
1480,16.333853
1481,1.2354202
1482,-0.3312749
1483,1.312109
1484,3.2461166
1485,1.2721285
1486,3.2748814
1487,6.873462
1488,7.372225
1489,7.619767
1490,5.235622
1491,3.5446465
1492,-1.355174
1493,4.1644025
1494,3.229642
1495,4.731019
1496,7.0603895
1497,2.423266
1498,-0.91334563
1499,0.51222366
1500,-0.16706555
1501,6.933279
1502,9.929655
1503,4.8949075
1504,6.1291733
1505,4.285607
1506,6.579957
1507,5.505084
1508,4.523989
1509,3.2496643
1510,3.6077087
1511,0.81200176
1512,6.3239913
1513,3.9379854
1514,-1.3751078
1515,2.2311976
1516,2.1929724
1517,6.3286734
1518,0.014574547
1519,4.3885026
1520,2.7640185
1521,12.448223
1522,5.779813
1523,5.5830736
1524,4.194859
1525,-0.31135818
1526,3.644584
1527,3.0271313
1528,0.9747053
1529,-3.1154459
1530,5.973598
1531,4.761307
1532,4.2906837
1533,4.591885
1534,3.1656687
1535,-1.4214495
1536,5.2376976
1537,10.820241
1538,0.9482627
1539,6.12904
1540,2.3070655
1541,3.3728242
1542,-3.8559043
1543,11.67191
1544,-2.9716198
1545,6.262004
1546,-3.1149936
1547,-2.9418545
1548,-3.2635171
1549,-0.9553438
1550,-3.022998
1551,2.0550706
1552,-1.8665289
1553,-0.123136126
1554,-2.4683163
1555,3.6564097
1556,1.3327626
1557,-3.1264637
1558,2.5415547
1559,0.02201041
1560,-1.8077124
1561,-3.0820801
1562,1.0306579
1563,-2.3243964
1564,-1.862698
1565,1.8592945
1566,-1.2872275
1567,1.9406608
1568,1.3937966
1569,9.016524
1570,-2.9697008
1571,1.1696612
1572,-4.708746
1573,-2.3740242
1574,-2.0495956
1575,8.685604
1576,0.9984316
1577,-1.1496638
1578,2.1459618
1579,-0.8478334
1580,-0.5032686
1581,-16.15724
1582,-4.639901
1583,1.4669777
1584,-3.3338673
1585,-2.3934753
1586,0.47363606
1587,0.5822572
1588,1.8395464
1589,-0.24963374
1590,-1.1439265
1591,-0.33134556
1592,0.6080241
1593,-2.4466121
1594,1.0954843
1595,1.718153
1596,-0.81373525
1597,1.6141683
1598,-0.11100043
1599,-0.6111179
1600,1.5477393
1601,1.6904947
1602,-0.65186214
1603,0.44970623
1604,-2.0236268
1605,1.2314628
1606,3.8983774
1607,-2.8954291
1608,0.9754863
1609,-0.4137287
1610,0.87938637
1611,-1.8083912
1612,2.516172
1613,-0.34438154
1614,3.8202436
1615,2.538158
1616,0.4233578
1617,-1.4475653
1618,-0.82600266
1619,2.1203282
1620,-1.6211796
1621,-0.3265614
1622,1.5074762
