,Song,x,y,z,danceable_ML,not_danceable_ML,female,male,voice,instrumental,tonal,atonal,spectral_complexity.mean
223,0224_Ramble On - 1990 Remaster - Led Zeppelin,17.722267,-12.405141,-7.464688,0.23979445,0.72538394,0.22999232,0.7699947,0.94861484,0.050290905,0.9435199,0.12772118,13.848414421081545
224,0225_Somebody To Love - Remastered 2011 - Queen,-1.4402999,-15.403053,-15.294926,0.0821125,0.89677197,0.5436722,0.45830083,0.99240905,0.010763848,0.8090198,0.22589463,21.16782760620117
225,0226_Long Train Runnin' - The Doobie Brothers,2.7837281,-4.2909975,-15.5705385,0.7673198,0.24742973,0.5388624,0.46338814,0.8642552,0.15549697,0.65279406,0.49690723,20.583913803100582
226,0227_Crazy On You - Heart,11.270245,-3.4831748,-11.116333,0.3297023,0.64668953,0.6453654,0.3570909,0.7987283,0.19296445,0.3692147,0.64338535,16.045629501342773
227,0228_Foreplay _ Long Time - Boston,-3.0505176,-27.326977,-7.5607963,0.12264013,0.8625726,0.32301402,0.67819995,0.70818996,0.2954692,0.8156252,0.36885166,31.467130661010746
228,0229_My Generation - Mono Version - The Who,1.5622478,-15.068935,-16.201788,0.20979978,0.7236676,0.14993274,0.8499796,0.98724294,0.013649884,0.99907374,0.020214453,26.02242851257324
229,0230_Break on Through (To the Other Side) - The Doors,8.510236,-8.796982,-6.3480954,0.040881593,0.9507197,0.18204017,0.81765765,0.93138814,0.06701603,0.59181035,0.49304616,17.668987274169922
230,0231_Call Me Maybe - Carly Rae Jepsen,-15.609026,1.2647775,6.373852,0.9595591,0.032770656,0.83172107,0.16922143,0.95485014,0.03776253,0.9804997,0.073766835,16.942768096923828
231,0232_Rehab - Rihanna,-3.8541048,-11.441156,6.408587,0.9942194,0.0048439307,0.6264371,0.3768307,0.9371432,0.047473952,0.98745775,0.021059537,19.07733917236328
232,0233_Talk Dirty (feat. 2 Chainz) - Jason Derulo,-9.226437,4.9538727,14.793857,0.95277756,0.03415352,0.16032231,0.84071654,0.98471403,0.020698542,0.9979688,0.012596488,17.801237106323242
233,0234_More - Usher,-9.50705,-8.008476,-4.0198917,0.75469035,0.2211523,0.15964374,0.841716,0.9851026,0.015370168,0.99998754,0.0006645771,26.895591735839844
234,0235_Do You Like What You See - Ivy Quainoo,3.3796973,-1.5014455,-10.366974,0.4503777,0.5536303,0.6103901,0.3921332,0.9493166,0.052187353,0.79818827,0.23847196,20.670534133911133
235,0236_Sexy And I Know It - LMFAO,-10.207769,-1.5067873,-6.1346297,0.9996285,0.00028793086,0.14561495,0.8541607,0.9873624,0.01246211,0.9999997,6.089908e-06,20.62954330444336
236,0237_S&M - Rihanna,-15.220757,1.643534,-6.411493,0.8250832,0.18501878,0.949016,0.05167211,0.93515825,0.07152918,0.5775439,0.44954756,20.865428924560547
237,0238_True Love (feat. Lily Allen) - P!nk,-11.716232,4.789443,-2.067733,0.990659,0.007364659,0.8898056,0.11144095,0.9959278,0.003783779,0.99521375,0.037641324,18.16628074645996
238,0239_And We Danced (feat. Ziggy Stardust) - Macklemore,-3.7082334,-1.1133131,18.03375,0.84889525,0.1096215,0.039356757,0.9607808,0.99982935,0.00028262538,0.9962608,0.005413791,16.046403884887695
239,0240_Danza Kuduro - Original Mix - Don Lore V,-10.331304,-8.513348,-0.040658925,0.9999934,2.2808134e-05,0.29849988,0.70720696,0.97927666,0.019793922,0.9999998,1.853605e-05,24.48105239868164
240,0241_Drunk in Love (feat. Jay-Z) - Beyoncé,-10.691987,10.935493,17.30786,0.7274249,0.24200505,0.8872246,0.11457925,0.9488785,0.050209302,0.6524183,0.38369292,12.833720207214355
241,0242_Pretty Hurts - Beyoncé,-9.284452,-0.49601603,6.5066524,0.9575109,0.039124973,0.6534442,0.34912074,0.955615,0.03674816,0.99892205,0.0054066926,18.544469833374023
242,0243_***Flawless (feat. Chimamanda Ngozi Adichie) - Beyoncé,0.47975814,19.03052,4.7285194,0.9999994,7.80066e-06,0.9399901,0.0604821,0.9949903,0.0038969077,0.9990663,0.0048164115,17.3178653717041
243,0244_Love On Top - Beyoncé,-13.546472,1.6872672,-2.7573695,0.9902075,0.0064266175,0.96503687,0.035974,0.98985404,0.006479796,0.9814594,0.034368943,19.125289916992188
244,0245_Halo - Beyoncé,-21.817421,0.61913943,-3.5118976,0.6595305,0.31692767,0.9894961,0.010821951,0.98942494,0.009288663,0.78847235,0.2885107,17.02088165283203
245,0246_Single Ladies (Put a Ring on It) - Beyoncé,-7.0539446,12.060888,2.302048,0.9998898,9.186399e-05,0.9728049,0.027734775,0.9468589,0.03376366,0.99983835,0.0012738284,19.457077026367188
246,0247_Diva - Beyoncé,-15.471206,-1.1806965,11.4771805,0.994878,0.004026249,0.6591209,0.3426446,0.9833942,0.015401418,0.829249,0.43455988,11.382057189941406
247,0248_Sweet Dreams - Beyoncé,-18.974937,1.1703974,1.4170176,0.9998171,0.00013639852,0.972281,0.028123595,0.9820762,0.0137514835,0.90548784,0.2699551,16.791955947875977
248,0249_Beautiful Liar - Beyoncé,-9.263862,-4.217368,8.403977,0.9993612,0.0012724941,0.9187819,0.082844,0.9250193,0.06384538,0.8818892,0.15501887,15.274555206298828
249,0250_Freakum Dress - Beyoncé,-18.088152,3.2934072,2.2118342,0.9999997,1.2592117e-06,0.88362724,0.119737074,0.98695534,0.011652247,0.9988694,0.0073880036,19.80742454528809
250,0251_Deja Vu (feat. Jay-Z) - Beyoncé,-4.681774,12.320667,0.6785808,0.99993163,6.595962e-05,0.9606599,0.03975254,0.94324094,0.040170543,0.9989206,0.019117868,15.945862770080566
251,0252_Get Me Bodied - Beyoncé,-19.180702,2.2415867,2.962454,0.9999915,4.7016283e-06,0.88944566,0.11076999,0.89660335,0.07515818,0.9463894,0.28868362,14.163959503173828
252,0253_Crazy In Love (feat. Jay-Z) - Beyoncé,-16.698132,1.7169313,-0.5692161,0.99193543,0.008314394,0.8576166,0.14368193,0.9872184,0.015791059,0.9392168,0.17191316,19.79427719116211
253,0254_Naughty Girl - Beyoncé,-15.616684,-1.5198689,8.664542,0.99970126,0.0002449792,0.86727476,0.1353439,0.88077563,0.09835252,0.6596507,0.56884336,14.740912437438965
254,0255_4 Minutes (feat. Justin Timberlake and Timbaland) - Madonna,-7.4739265,0.7268788,0.85225964,0.9984448,0.0010863726,0.234717,0.76552415,0.97524273,0.031714987,0.9999918,0.00061314664,25.20030975341797
255,0256_Behind Blue Eyes - Limp Bizkit,11.30754,-11.82004,-0.7645485,0.0056884256,0.9949037,0.1989984,0.8013633,0.9764056,0.022156756,0.9056989,0.039548688,16.826759338378906
256,0257_Gangnam Style (강남스타일) - PSY,-7.425427,6.297517,-10.361649,0.98376095,0.01438874,0.5769503,0.4330787,0.95507,0.043246485,0.99998695,0.000628073,19.8870849609375
257,0258_Gentleman - PSY,-22.78105,-1.573937,3.8674457,0.9994753,0.00035465678,0.33248037,0.6650484,0.88176054,0.08290521,0.9999997,3.3446027e-05,21.98298454284668
258,0259_Scream & Shout - will.i.am,-4.8971868,7.6592693,12.768043,1.0,2.117652e-07,0.5662479,0.44651076,0.9603362,0.03180156,0.9998699,0.0007572945,14.224284172058104
259,0260_Evacuate The Dancefloor - Cascada,-14.38492,4.6968136,0.032212507,0.99986064,0.00018626152,0.7194702,0.2822855,0.9861992,0.011012384,0.9985693,0.020764401,22.540603637695312
260,0261_Diamonds - Rihanna,-13.40485,5.793573,-5.5522346,0.9999541,0.00015908756,0.896491,0.105338484,0.9981593,0.0024737436,0.98872405,0.020631516,19.5854606628418
261,0262_Te Amo - Rihanna,5.000152,-3.6064413,6.5846806,0.86716604,0.12493744,0.6592866,0.34194645,0.8812089,0.122355334,0.43154255,0.5566377,16.02320098876953
262,0263_Pon de Replay - Rihanna,-5.8640785,22.512901,5.0074935,0.9999994,2.5227146e-06,0.84439147,0.15553203,0.8100714,0.14544336,0.9928653,0.03434842,21.008506774902344
263,0264_Umbrella - Rihanna,-22.439508,1.4364561,1.9840779,0.99983865,0.00018133798,0.5607324,0.44138578,0.9109569,0.072837576,0.8782165,0.19099629,15.882444381713867
264,0265_Don't Stop The Music - Rihanna,-14.937978,11.972813,14.431153,1.0,2.725346e-10,0.9694569,0.03072795,0.9802437,0.013128283,0.98950034,0.1313573,7.546790599822998
265,0266_Breakin' Dishes - Rihanna,-4.174772,17.528833,2.3166075,0.9999695,6.787423e-05,0.7912755,0.21028261,0.92361563,0.06884476,0.99982756,0.0010828013,20.187162399291992
266,0267_Disturbia - Rihanna,-8.40681,-3.7287836,6.6656327,0.9999903,6.9827893e-06,0.99090075,0.009355785,0.973612,0.026104977,0.99925464,0.011562733,15.030162811279297
267,0268_Skyfall - Adele,13.306029,-12.213982,-8.595011,0.009511159,0.99023867,0.7870581,0.21259828,0.9893398,0.01623112,0.639455,0.21786708,20.378963470458984
268,0269_Set Fire to the Rain - Adele,12.335689,-9.468322,-3.1927788,0.62095743,0.37816238,0.6286061,0.37477085,0.969787,0.02777658,0.1936361,0.69056684,18.545244216918945
269,0270_Rolling in the Deep - Adele,16.162647,-6.37441,-10.735552,0.65622884,0.320963,0.7610589,0.24304654,0.9651654,0.038087793,0.41097057,0.6001996,16.20340347290039
270,0271_Back To Black - Amy Winehouse,9.337047,-12.665327,-9.397034,0.30421963,0.7057594,0.49795634,0.504833,0.9813635,0.024955068,0.518144,0.37998804,22.34725379943848
271,0272_Rehab - Amy Winehouse,1.6694362,-7.152014,2.5852168,0.99899024,0.0020496617,0.5715947,0.43136135,0.9611454,0.039629653,0.99762875,0.006023796,20.8066520690918
272,0273_Try - P!nk,9.459839,-6.404811,1.7708007,0.6057098,0.41025206,0.7315083,0.27242747,0.934711,0.06920405,0.7627203,0.2590614,19.5692195892334
273,0274_Just Give Me a Reason (feat. Nate Ruess) - P!nk,3.482569,-1.7416003,3.8702934,0.86473286,0.1342196,0.76664263,0.23585513,0.9748265,0.020013703,0.649737,0.37931663,17.46249008178711
274,0275_Raise Your Glass - P!nk,-18.48242,-1.9101188,2.494127,0.9999661,7.901226e-05,0.8116686,0.18885499,0.9925016,0.007659404,0.99435955,0.031009775,21.083526611328125
275,0276_So What - P!nk,-2.9741564,-15.317245,-1.5656842,0.705768,0.29768267,0.29291606,0.7091134,0.99144727,0.01372189,0.9997127,0.00091824494,26.71848487854004
276,0277_Blow Me (One Last Kiss) - P!nk,-16.713158,2.2306397,-3.05488,0.9995993,0.0006197116,0.90112627,0.10101452,0.99768496,0.0027669698,0.9817793,0.045913633,20.793502807617188
277,0278_Slut Like You - P!nk,-14.216165,-0.9045829,-4.542503,0.966542,0.04190944,0.75238824,0.24842794,0.91034377,0.09822926,0.9996074,0.0012219357,25.75792694091797
278,0279_The Truth About Love - P!nk,-7.040853,7.030496,-9.947265,0.9987931,0.00075583154,0.27380636,0.7282099,0.99915063,0.0005463882,0.9999683,0.00022869826,20.13147735595703
