,danceable_ML,not_danceable_ML,female,male,voice,instrumental,tonal,atonal,spectral_complexity.mean
1536,0.84720916,0.14624532,0.56040066,0.44098067,0.47596368,0.45491967,0.9239345,0.1264506,8.87161636352539
1537,0.9886028,0.006164817,0.50385356,0.4963946,0.42637584,0.5288913,0.99917895,0.0021949003,13.718483924865724
1538,1.0,7.01338e-08,0.54498655,0.45830074,0.021164438,0.9765376,0.9936865,0.016247068,5.567672252655029
1539,0.9996066,0.00039275282,0.38024318,0.6218126,0.30399323,0.66214067,0.96061784,0.013407185,17.405258178710938
1540,0.99985987,0.00040580667,0.46656075,0.5348527,0.08855234,0.8825367,0.9904153,0.018907761,10.664346694946287
1541,1.0,1.07053665e-07,0.16352989,0.8326414,0.6258297,0.3029113,0.9997265,0.002660251,9.658159255981444
1542,0.04593519,0.96245515,0.66705877,0.33246663,0.06479957,0.9285719,0.00047249332,0.9998024,12.825212478637695
1543,0.99996936,2.6761947e-05,0.66318434,0.34001577,0.15043013,0.7889232,0.9030858,0.09165217,13.86465549468994
1544,0.008597269,0.9937577,0.37152323,0.6296829,0.105916776,0.86942524,0.2560405,0.8011509,8.208816528320312
1545,0.97009486,0.03638004,0.510709,0.4911417,0.31865984,0.65513164,0.9800971,0.01673347,17.160865783691406
1546,0.027913764,0.9756565,0.704752,0.29744467,0.23048253,0.7565312,0.3554136,0.6038173,13.320959091186523
1547,0.18082106,0.8088795,0.48425543,0.51766187,0.45927817,0.5065642,0.21228255,0.74962103,10.61020851135254
1548,0.018816829,0.98975724,0.7506601,0.25191393,0.14574015,0.8361391,0.08810669,0.9051858,11.668987274169922
1549,0.59242105,0.36578575,0.41182137,0.5893107,0.15351672,0.8431513,0.11070382,0.83980286,14.179428100585938
1550,0.041937485,0.97286564,0.5713991,0.43050647,0.107280515,0.8645964,0.0020760193,0.9989365,11.097447395324709
1551,0.5412965,0.43838617,0.6920089,0.30939594,0.20546886,0.7701576,0.34004033,0.5205544,17.645784378051758
1552,0.007856946,0.992103,0.40470898,0.5968978,0.28446323,0.70721155,0.5181616,0.4418633,14.404485702514648
1553,0.03490781,0.96494514,0.63168764,0.37100133,0.08329889,0.91031444,0.73810077,0.31455615,5.153132438659668
1554,0.009314432,0.99193823,0.4697176,0.53193367,0.2619593,0.7338769,0.44331163,0.5639309,11.476411819458008
1555,0.016075755,0.9883021,0.67147094,0.3304868,0.39411727,0.5779242,0.7382481,0.23244637,19.49884033203125
1556,0.0063138087,0.99585766,0.67718285,0.32520127,0.05585432,0.9415825,0.6271015,0.3650051,8.477958679199219
1557,0.04522821,0.9570747,0.49509278,0.5070116,0.30520797,0.68864733,0.3895111,0.561108,11.545243263244627
1558,0.5825153,0.41972274,0.6564925,0.3448487,0.061066777,0.9331295,0.82993746,0.17695057,9.90719223022461
1559,0.01866535,0.9826067,0.5201103,0.48069647,0.23463781,0.76947266,0.7135778,0.2360229,12.025522232055664
1560,0.0042200447,0.9970923,0.5530971,0.44898942,0.1303112,0.86535364,0.0429718,0.95484966,13.784222602844238
1561,0.26738527,0.79824054,0.7520426,0.2465722,0.036054417,0.95157796,0.0016452135,0.99944437,11.739365577697754
1562,0.98065966,0.031278174,0.40444535,0.59712434,0.33113408,0.6729773,0.53421134,0.30028626,13.021655082702637
1563,0.017818922,0.98368,0.7602601,0.24307016,0.10395374,0.89162165,0.096855566,0.8782538,7.761794090270996
1564,0.01862499,0.98280597,0.44794348,0.5533789,0.21212797,0.78397876,0.4228096,0.56688416,12.846094131469728
1565,0.013703365,0.9869738,0.50164276,0.49897656,0.10760579,0.8931195,0.85484916,0.12740488,9.090487480163574
1566,0.03241481,0.9672672,0.80308133,0.20044155,0.16707362,0.8084152,0.09688785,0.8879309,9.166279792785645
1567,0.017880764,0.98493725,0.51814765,0.4828751,0.075996615,0.92485577,0.85123885,0.12228117,7.890951156616211
1568,0.0331571,0.96797544,0.5610693,0.43924612,0.71185935,0.3006073,0.7517189,0.20208634,16.948955535888672
1569,0.7879742,0.20504028,0.5368514,0.46531734,0.21591994,0.79266363,0.22215323,0.8494528,8.475638389587402
1570,0.054625105,0.9458344,0.6712212,0.33160815,0.15057416,0.84181416,0.16968971,0.85259837,11.078886032104492
1571,0.025491456,0.978922,0.53411305,0.46700597,0.05031346,0.94373524,0.8637914,0.14987631,6.196442604064941
1572,0.2015782,0.7902249,0.6495005,0.3525649,0.11816183,0.8911325,0.0007716946,0.9997036,8.173240661621094
1573,0.018217776,0.9835193,0.81359416,0.19001873,0.07363188,0.92177784,0.37586284,0.5957906,9.27764892578125
1574,0.007831303,0.9911593,0.3088313,0.69281685,0.1486542,0.8242883,0.41119096,0.5530365,14.764887809753418
